trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
90,False,"{'a': 0.5, 'e': 0.4106557527523455}",30,12,-81.8527164420145,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
91,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,11,-23.666161316753023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,0.713441413669992,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.39851904108451414}",20,12,-23.206519819268067,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.3945537103716011}",25,17,1.5820652365486894,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3906278353585211}",25,0,-13.082016585774754,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,1,-9.563262731038664,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,11,16.51466293217619,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,13,-35.78880040716723,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.5, 'e': 0.37531109885139957}",30,0,-65.08309343150246,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,17,-18.763886552050497,"{0: 5, 1: 2, 2: 0, 3: 1, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,10,-11.167572017603263,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3642189795715233}",25,3,-2.561330589658734,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3605949401730783}",25,7,-80.38199981673613,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 2}",1
104,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,0,-163.27840649246593,"{0: 18, 1: 1, 2: 0, 3: 3, 4: 3}",0
105,False,"{'a': 0.5, 'e': 0.35345468195878016}",35,24,21.538946970014518,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,13,26.338542046745218,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.3464558103300574}",25,2,-2.5102879841756147,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.34300851741870664}",25,18,13.869064903376024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,10,-46.89518125127214,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",35,13,-55.11970771812867,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",25,3,-159.89254651944483,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 3}",1
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",20,1,-64.42169500848932,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,8,-29.746592988327528,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",35,13,-62.998417478199286,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",30,21,-17.935595088076024,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,13,15.719908104340913,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",25,0,-110.21788663973258,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,12,-1.2993235444811504,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",20,15,2.8686216315997903,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",20,9,9.399967456132574,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.30119421191220214}",25,11,10.111034770128033,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.2981972794298874}",20,13,13.24155672298548,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2952301669240142}",20,6,10.770209906043188,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.2922925776808594}",20,13,1.9207582541145967,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2893842179390506}",25,20,10.055938171757637,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2865047968601901}",20,3,-9.860815109857375,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2836540264997704}",35,22,-3.8109344664747087,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2808316217783798}",35,21,23.6566581014759,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27803730045319414}",25,11,10.756547077768845,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27527078308975234}",30,16,0.3346814648164407,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,0,-44.26196723999077,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.2698200563846868}",20,0,-45.46645142172212,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.26713530196585034}",25,17,14.160210025873155,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26447726129982396}",20,9,-31.937879054071818,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.261845668580326}",20,1,12.458657416172526,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.2592402606458915}",35,27,17.391543966926278,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2566607769535559}",35,0,-17.556375208794357,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,8,-5.9051324935654605,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.25157855305975646}",25,10,18.414048381401038,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,12,7.875255741376072,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,4,-62.2018241024599,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,0,-22.881858983685923,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",25,11,-82.75490202032589,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 2}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",35,17,-19.831386867628037,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,7,-28.074812041672853,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",20,4,-88.06466773084084,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",20,12,16.263932592569596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,0,11.702853130153176,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,4,-9.523341931387773,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",30,13,5.366386249359459,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",20,14,-3.736518989507836,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",20,14,-42.00425946068378,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",20,0,-18.0325784227701,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",30,21,21.35546308330501,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,0,-50.5302734227967,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,0,-43.827921102500255,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.21013607120076472}",20,13,4.961004339769432,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,15,9.19167717773557,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20597509820488344}",25,2,23.071135676539658,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20392561173421342}",20,0,0.8108554794503284,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.20189651799465538}",25,10,-9.07144113935734,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.1998876140751445}",35,20,-38.90180352097704,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19789869908361465}",30,17,24.404717011166557,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,0,22.22943689530733,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
165,False,"{'a': 0.5, 'e': 0.19398004229089189}",30,12,-2.993056548279629,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,0,-16.786001324924754,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.1901389801015205}",20,0,-12.63654387951323,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,15,8.031282752046177,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,0,-18.846765765048612,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.18451952399298926}",30,16,21.366247738025585,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.18268352405273466}",20,6,-37.81463192548338,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
172,False,"{'a': 0.5, 'e': 0.1808657926171221}",30,11,14.179214700718994,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,5,-15.205678985201262,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
